Code,Soil Names,% Sand (O,A horizon),% Silt (O,A horizon),% Clay (O,A horizon),Hydro Group
657950,Holston-Cloudland-Cedarbluff (s71),44.7,37.7,17.6,B
657951,Wehadkee-Leesburg-Ketona-Georgeville-Docena-Chenneby (s72),25.2,52.3,22.6,C
657952,Fullerton-Dewey-Decatur-Allen (s73),25.7,50.7,23.6,B
657953,Vance-Pacolet-Louisburg-Cecil-Appling (s74),62.0,22.0,16.1,B
657954,Sequatchie-Holston (s75),41.5,39.7,18.9,B
657955,Tatum-Tallapoosa-Louisburg-Gwinnett-Cecil (s76),48.7,27.8,16.3,B
657956,Rock outcrop-Cheaha (s77),48.0,28.7,13.4,D
657957,Tatum-Madison-Louisa (s78),52.6,30.4,17.0,B
657958,Madison-Louisa-Davidson (s79),52.5,29.2,18.2,B
657959,Etowah-Emory-Decatur (s8),31.9,45.8,22.3,B
657960,Toccoa-Riverview-Cartecay (s80),55.1,29.6,15.3,B
657961,Hiwassee-Gwinnett (s81),44.7,37.2,18.1,B
657962,Tallapoosa-Madison-Louisburg-Cecil (s82),51.6,29.7,18.7,B
657963,Tallapoosa-Sylacauga-State-Riverview-Holston-Fruithurst-Allen (s83),38.3,45.9,15.8,B
657964,Water (s8369),0.0,0.0,0.0,
657965,Madison-Gwinnett-Cecil-Appling (s84),59.4,20.7,19.9,B
657966,Allen (s85),33.2,47.8,19.0,B
657967,Mecklenburg-Iredell-Bremo (s86),43.7,40.2,16.1,C
657968,State-Roanoke-Riverview-Chewacla-Altavista (s87),37.1,46.1,16.8,B
657969,Wilkes-Wehadkee-Louisa-Davidson (s88),56.7,25.0,18.3,B
657970,Townley-Talladega-Sunlight-Nectar-Locust (s89),51.3,32.9,15.8,C
657971,Etowah-Allen (s9),35.7,41.6,22.7,B
657972,Weogufka-Tatum-Iredell-Durham-Congaree-Chewacla (s90),56.6,29.6,13.9,B
657973,Allen (s91),47.0,37.5,15.5,B
657974,McQueen-Lobelville-Chewacla-Chenneby (s92),33.2,50.4,16.5,C
657975,Locust-Allen (s93),41.6,41.1,17.3,B
657976,Minvale-Locust-Bodine (s94),24.7,53.9,21.5,B
657977,Tatum-Tallapoosa (s95),35.5,46.4,18.1,B
657978,Holston-Cane-Allen (s96),40.0,39.4,20.6,B
657979,Minvale-Etowah-Dewey (s97),28.6,48.4,23.0,B
657980,Quitman-Decatur-Allen (s98),40.8,40.1,19.1,B
657981,Townley-Nella-Mountainburg-Hanceville-Gorgas (s99),46.3,37.0,16.8,B
658057,Rueter-Moko-Clarksville (s229),29.0,43.7,27.4,B
658058,Nixa-Jay-Clarksville-Captina (s230),23.6,58.6,17.8,C
658059,Summit-Newnata-Moko-Eden (s231),29.2,45.2,25.6,C
658060,Portia-Moko-Estate (s232),58.2,27.7,14.1,C
658061,Portia-Brockwell-Boden (s233),53.3,32.9,13.7,B
658062,Steprock-Sidon-Mountainburg-Linker-Enders (s234),59.8,25.2,15.0,B
658063,Steprock-Nella-Mountainburg-Linker-Enders (s235),60.6,25.3,14.1,B
